Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BAT_BS-3,139.028932,-133.381068,135,top
C9,0.1uF,C0603_334,153.5811,-133.9596,0,top
J1,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,172,-141.69,0,top
LED1,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-70.7136,45,top
LED10,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-74.5236,45,top
LED11,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-74.5236,45,top
LED12,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-74.5236,45,top
LED13,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-74.5236,45,top
LED14,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-74.5236,45,top
LED15,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-74.5236,45,top
LED16,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-74.5236,45,top
LED17,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-78.3336,45,top
LED18,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-78.3336,45,top
LED19,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-78.3336,45,top
LED2,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-70.7136,45,top
LED20,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-78.3336,45,top
LED21,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-78.3336,45,top
LED22,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-78.3336,45,top
LED23,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-78.3336,45,top
LED24,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-78.3336,45,top
LED25,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-82.1436,45,top
LED26,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-82.1436,45,top
LED27,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-82.1436,45,top
LED28,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-82.1436,45,top
LED29,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-82.1436,45,top
LED3,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-70.7136,45,top
LED30,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-82.1436,45,top
LED31,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-82.1436,45,top
LED32,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-82.1436,45,top
LED33,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-85.9536,45,top
LED34,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-85.9536,45,top
LED35,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-85.9536,45,top
LED36,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-85.9536,45,top
LED37,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-85.9536,45,top
LED38,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-85.9536,45,top
LED39,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-85.9536,45,top
LED4,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-70.7136,45,top
LED40,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-85.9536,45,top
LED41,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-89.7636,45,top
LED42,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-89.7636,45,top
LED43,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-89.7636,45,top
LED44,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-89.7636,45,top
LED45,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-89.7636,45,top
LED46,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-89.7636,45,top
LED47,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-89.7636,45,top
LED48,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-89.7636,45,top
LED49,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-93.5736,45,top
LED5,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-70.7136,45,top
LED50,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-93.5736,45,top
LED51,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-93.5736,45,top
LED52,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-93.5736,45,top
LED53,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-93.5736,45,top
LED54,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-93.5736,45,top
LED55,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-93.5736,45,top
LED56,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-93.5736,45,top
LED57,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-97.3836,45,top
LED58,LEDCHIP-LED0603,CHIP-LED0603_420,138.9761,-97.3836,45,top
LED59,LEDCHIP-LED0603,CHIP-LED0603_420,142.7861,-97.3836,45,top
LED6,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-70.7136,45,top
LED60,LEDCHIP-LED0603,CHIP-LED0603_420,146.5961,-97.3836,45,top
LED61,LEDCHIP-LED0603,CHIP-LED0603_420,150.4061,-97.3836,45,top
LED62,LEDCHIP-LED0603,CHIP-LED0603_420,154.2161,-97.3836,45,top
LED63,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-97.3836,45,top
LED64,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-97.3836,45,top
LED7,LEDCHIP-LED0603,CHIP-LED0603_420,158.0261,-70.7136,45,top
LED8,LEDCHIP-LED0603,CHIP-LED0603_420,161.8361,-70.7136,45,top
LED9,LEDCHIP-LED0603,CHIP-LED0603_420,135.1661,-74.5236,45,top
MP1,STM32L431CC,QFP50P900X900X160-48,163.7411,-135.4836,90,top
PROG0,4-PIN-1.25MM,4-PIN-1.25MM_4492387,168.496,-145.375,-90,top
R1,10k,R0603_334,164.2491,-145.1356,0,top
R10,500r,R0603_334,161.8361,-64.3636,-135,top
R2,10k,R0603_334,153.5811,-136.2456,180,top
R3,500r,R0603_334,135.1661,-64.3636,-135,top
R4,500r,R0603_334,138.9761,-64.3636,-135,top
R5,500r,R0603_334,142.7861,-64.3636,-135,top
R6,500r,R0603_334,146.5961,-64.3636,-135,top
R7,500r,R0603_334,150.4061,-64.3636,-135,top
R8,500r,R0603_334,154.2161,-64.3636,-135,top
R9,500r,R0603_334,158.0261,-64.3636,-135,top
RX0,"PTR1B1,27","B1,27_385",162.4711,-126.5936,0,top
SW1,SSSS811101SW4_SSSS811101_ALPS,SW4_SSSS811101_ALPS,148.5011,-147.07235,0,top
SW2,SW_Push,SPEH110101,160.46,-108.51,0,top
TX0,"PTR1B1,27","B1,27_385",165.0111,-126.5936,0,top
